,Character
843,Hotel Concierge (uncredited)
844,Rose Cheramie
845,Command Centre Official
846,Mother of Newborn
847,Moderen
848,Yoda
849,Japanese Waitress
850,Gully
851,Dorothy Wheeler
852,Farmor
853,Second Doctor
854,Burned Village Child
855,Borracho 2
856,Male Employee
857,Albert Graves
858,Interpol Agent Martin
859,Christine's Mother
860,Turner Hideaway
861,Nidon (voice)
862,Opera Security
863,Lopez
864,Ruby
865,Sénateur
866,Eric Grafton
867,Angel #1
868,Chip
869,Rex
870,Adrian Bachman
871,Ange Bassignano
872,Benito Juarez
873,King Westley
874,Honey Pie
875,Melanie Corman
876,Critic
877,Mateo Santos
878,Darden
879,Fran's Boyfriend
880,Demolition Foreman
881,SWAT Helicopter Pilot
882,Pretty Girl / Christina
883,Attendant at Brothel
884,Boarding House Landlady
885,Nils Bjurman
886,Senator Horton Mitchell
887,Sybil Grey
888,Assistant to Lee Phillips (uncredited)
889,Angus MacLeod
890,Detective Kurlen
891,Old Thomas Nickerson
892,Jason Shepherd
893,Luenell
894,Carlos
895,Lao Che
896,Mrs. Marcus
897,Monty Taylor
898,Luca Brasi
899,Sophie Freud
900,Larry Zoolander
901,Emily Cribbs
902,Mrs. Denton
903,Cleaman Hayes
904,Maggie Mills
905,Nicholas Earp
906,White House Gate Guard
907,Actress Playing Claire
908,Stevens
909,The Strike Leader
910,China
911,Meaner Dude
912,Shopper with Kids
913,Mickey Wagner
914,Max Rockatansky
915,Principal Tardio
916,Mr. Chechi
917,Silvana's Brother
918,Virgilianus
919,Undead Stripper #2
920,Brooks Baekeland
921,Simon Fletcher
922,Speed Dater (uncredited)
923,Town Cowboy
924,Major-domo
925,Ed Chilton
926,Leutnant Hans Wilhelm Hagen
927,Sheriff Jerry Farrel
928,Diner Owner
929,Buddy Kupfer
930,Blair
931,Jean-Charles Rey
932,Walter Sparrow / Fingerling
933,Uninterested Guy
934,Band Member #3
935,Nelson
936,Hollywood Biker #1
937,Young Goul Face
938,Dr. Bowman
939,Girl in Locker
940,Sergeant Chen (as Richie Jen)
941,Scorch Supernova (Voice)
942,Twitchy Suspect
943,Night Manager
944,Erdmännchen 1
945,General Bandari
946,Ron Camp
947,Mama Cecile
948,Annie's Psychiatrist
949,Conventioneer (uncredited)
950,Roger Sherman Baldwin
951,Businessman in Lobby
952,Minder
953,Vincent Dardis
954,"Dr. Rudy Blatnoyd, D.D.S."
955,Edith Southey
956,Tuptim
957,Capt. Frank
958,Stella Kay
959,Charlie Malloy
960,Bather
961,Capt. Joyce
962,Christa Marsh
963,Waverly Technician
964,Deputy Fred King
965,Motel Man
966,Boomer (uncredited)
967,Lilly
968,Floyd Demel
969,Major Ashley-Pitt
970,Mill Hand
971,Gorobei Katayama
972,Vijay Joshi
973,Billy (uncredited)
974,Valentín
975,Elderly Wife
976,Ji-Hwan
977,Reggie Campo
978,NYU Student Girlfriend
979,Aks Moe (voice)
980,Hobo Joe
981,Lois Riley
982,Mrs. McGrand
983,Johann Krauss / Bethmoora Goblin
984,Inspector Bird
985,Sammael
986,Floyd Dell
987,Young Chrysler Employee / Package Delivery Man / Dodge Stratus Guy / ... (uncredited)
988,Sallah
989,Jack Pacheco
990,Kolio
991,Austrian Official
992,Young Joy
993,Hostage in Monte Carlo
994,Flying Snow (voice)
995,Alfredo
996,Nitro
997,Dr. Conner's Patient
998,Artemesia's Father (uncredited)
999,Young Daniel Lugo
1000,Thomas
1001,Louis Sweetzer
1002,Cartel leader
1003,El Cabillo (uncredited)
1004,Evidentiary Storage Officer
1005,Paul the Attorney
1006,Campaign Editor
1007,Gríma Wormtongue
1008,Chess King (voice)
1009,Alice Rollins
1010,Det. Sgt. Deke DaSilva
1011,Mahdi
1012,Ed Rush
1013,Swordmaster
1014,WitSec Agent Schiffer
1015,Cyber Hub Tech
1016,Survivor
1017,Mrs. Ulman
1018,Xiang Ping
1019,Missy Berliner
1020,Uncle Pat
1021,Preservation Partier (uncredited)
1022,Justin Epstein
1023,Mr. Kline
1024,Mr. Austen
1025,Martha George
1026,Sheriff Ritter
1027,Bar Emcee
1028,Trumaine
1029,Hamdi
1030,Road Rage / Confrontation Driver
1031,Jean Carrack
1032,Miller girl#3
1033,Viceroy Hegep
1034,Daniel Leon Zavitz
1035,General Tesio
1036,Lamont
1037,Doug Bukowski
1038,Sexy Blonde
1039,Raymond Dufayel
1040,Miss Kitty
1041,Hoo Hoo - Detention Kid
1042,Sean Miller
1043,"Flying Officer Louis Sedgwick ""The Manufacturer"""
1044,Abileyza
1045,Neeco
1046,Sheriff Dave
1047,Jonathan Bottoms
1048,Walter Wright
1049,Turning Woman 5
1050,French Peasant (voice)
1051,Female Tourist
1052,Dog / Animal Groupie #2 (voice)
1053,Cora's Mom (voice)
1054,Red Flannel
1055,Robin (Bird)
1056,Cult Member
1057,Le client humilié
1058,Arthur Dallas
1059,Koulikov
1060,Charles Stewart
1061,Top Buchanan
1062,Margaret More
1063,Beverly
1064,Stu Preissler
1065,Prosecution Barrister
1066,Angie Ashford
1067,Abel Morales
1068,Harley Stone
1069,Government Doctor
1070,Bill Talbot
1071,Hank Fowler
1072,Sack Race Boy (uncredited)
1073,Home Band Keyboarder
1074,Jerry Renfro
1075,Santino
1076,Kaia
